1,10000,20,56,56,86,2
2,10000,21,57,57,101,2
3,10000,22,60,60,109,3
4,10000,24,62,62,116,3
5,10000,26,65,65,123,3
6,10000,27,68,68,131,3
7,10000,29,70,70,138,4
8,10000,31,73,73,145,4
9,10000,33,76,76,153,4
10,10000,35,78,78,160,5
11,10000,36,82,82,174,5
12,10000,38,85,85,188,5
13,10000,41,89,89,202,6
14,10000,44,93,93,216,6
15,10000,46,96,96,230,7
16,10000,49,100,100,244,7
17,10000,52,104,104,258,8
18,10000,54,109,109,272,9
19,10000,57,113,113,286,9
20,10000,60,116,116,300,10
21,10000,63,122,122,333,10
22,10000,67,127,127,366,11
23,10000,71,133,133,399,12
24,10000,74,138,138,432,13
25,10000,78,144,144,465,14
26,10000,81,150,150,498,15
27,10000,85,155,155,531,16
28,10000,89,162,162,564,17
29,10000,92,168,168,597,18
30,10000,97,173,173,630,19
31,10000,101,181,181,669,20
32,10000,106,188,188,708,22
33,10000,110,194,194,747,23
34,10000,115,202,202,786,25
35,10000,119,209,209,825,27
36,10000,124,215,215,864,29
37,10000,128,223,223,903,31
38,10000,134,229,229,942,33
39,10000,139,236,236,981,35
40,10000,144,244,244,1020,38
41,10000,150,253,253,1088,40
42,10000,155,263,263,1156,43
43,10000,161,272,272,1224,46
44,10000,166,283,283,1292,49
45,10000,171,292,292,1360,52
46,10000,177,302,302,1428,55
47,10000,183,311,311,1496,58
48,10000,189,322,322,1564,62
49,10000,196,331,331,1632,66
50,10000,202,341,341,1700,70
51,10000,204,342,393,1774,84
52,10000,205,344,444,1851,99
53,10000,207,345,496,1931,113
54,10000,209,346,548,2015,128
55,10000,210,347,600,2102,142
56,10000,212,349,651,2194,157
57,10000,214,350,703,2289,171
58,10000,215,351,755,2388,186
59,10000,217,352,806,2492,200
60,10000,218,354,858,2600,215
61,10000,224,355,941,2700,232
62,10000,228,356,1032,2800,250
63,10000,236,357,1133,2900,269
64,10000,244,358,1243,3000,290
65,10000,252,359,1364,3100,313
66,10000,260,360,1497,3200,337
67,10000,268,361,1643,3300,363
68,10000,276,362,1802,3400,392
69,10000,284,363,1978,3500,422
70,10000,292,364,2170,3600,455
71,10000,296,365,2263,0,466
72,10000,300,366,2360,0,0
73,10000,305,367,2461,0,0
74,10000,310,368,2566,0,0
75,10000,315,370,2676,0,0
76,10000,320,372,2790,0,0
77,10000,325,374,2910,0,0
78,10000,330,376,3034,0,0
79,10000,335,378,3164,0,0
80,10000,340,380,3300,4400,569
